Year,Month,Source_District,Target_District,Lagged_Label,Regional_Trend,NDVI_Mean_Lag2,Pressure_Min,LST_Max,Pressure_Delta,LST_Max_Lag1,Heat_Moisture_Interaction,Pressure_Mean,CloudCover_SD,Temp_Min,DewPoint_Mean,Type_SandyDesert_x_NDVI,RH_Range,Type_Riverine_x_NDVI,Type_Agricultural_x_NDVI,Type_SandyDesert,Type_Agricultural_x_Precip,Type_SandyDesert_x_Precip
2000,2,Awaran,Awaran,0,0.0,,0.0191243687765467,0.1039646941170547,0.0,,,-0.0025212281386546,-0.9699359829725268,-1.1109073430301266,-1.4536862581110488,0.0,0.9950142851094714,0.0,0.0,False,0.0,0.0
2000,3,Awaran,Awaran,1,0.1612903225806451,,-0.0358295453303794,0.7675691116392901,0.0,0.1039646941170547,0.8358334574170887,-0.0530457169814398,-0.4725149404532568,-0.5560392699842541,-1.6343604808675172,0.0,1.5518272014956818,0.0,0.0,False,0.0,0.0
2000,4,Awaran,Awaran,0,0.3225806451612903,-1.0478206323026928,-0.1039723988229684,1.5090690131098146,-0.0505244888427851,0.7675691116392901,0.1883026253543347,-0.1348611286510477,0.1264928143765715,0.3109420941499221,-0.5430874321832528,-0.0,1.4722824991547945,-0.0,-0.0,False,-0.0,-0.0
2000,5,Awaran,Awaran,0,0.1612903225806451,-1.0742360582704071,-0.205087600779713,1.5878522889746582,-0.0818154116696079,1.5090690131098146,-1.008495688624084,-0.2092961944370298,0.2908492488239287,0.9698479308918956,1.02052101637877,-0.0,1.3927377968139074,-0.0,-0.0,False,0.0,0.0
2000,6,Awaran,Awaran,0,0.0,-1.092519148706828,-0.2578433583223617,1.47300121595637,-0.074435065785982,1.5878522889746582,0.3596275972185095,-0.2837908235301415,-0.3385109599900692,0.9929674339354736,0.4542663973419193,-0.0,1.5518272014956818,-0.0,-0.0,False,-0.0,-0.0
2000,7,Awaran,Awaran,0,0.1935483870967742,-1.127987950671008,-0.2842212370936847,1.1781457587402144,-0.0744946290931117,1.47300121595637,-0.2124405112722212,-0.3008113825538793,0.8821574954747798,0.8426906641522164,0.9555642256093864,-0.0,1.4722824991547945,-0.0,-0.0,False,-0.0,-0.0
2000,8,Awaran,Awaran,0,0.1935483870967742,-1.1533599194028623,-0.2160783836010983,1.1562553400486717,-0.0170205590237377,1.1781457587402144,0.3870852195353788,-0.2505039774610337,0.4300438311274687,0.8889296702393727,1.0506911840943418,0.0,1.3927377968139074,0.0,0.0,False,0.0,0.0
2000,9,Awaran,Awaran,0,0.1935483870967742,-1.1325009760832263,-0.180907878572665,1.1239080624472202,0.0503074050928455,1.1562553400486717,0.409061825129238,-0.1591332745941469,-0.2122835789954668,0.5999358821946473,0.8781357517371089,-0.0,1.0745589874503587,-0.0,-0.0,False,0.0,0.0
2000,10,Awaran,Awaran,0,0.1612903225806451,-1.1349901170872043,-0.018244292816164,0.9960060422214132,0.0913707028668868,1.1239080624472202,0.323479427245475,-0.0664209229776388,-2.3808151178581065,0.2878225911063437,-0.677852695853028,0.0,0.8359248804276971,0.0,0.0,False,-0.0,-0.0
2000,11,Awaran,Awaran,0,0.0,-1.0747934917797874,0.0213225253408242,0.3445563453599891,0.092712351616508,0.9960060422214132,-0.6371167344228006,0.0241936404144609,-0.3167289914088635,-0.6831965367239332,-1.2412270819801952,0.0,1.6313719038365688,0.0,0.0,False,-0.0,-0.0
2000,12,Awaran,Awaran,0,0.0,-1.043773592157466,0.1136451010404587,-0.3052553484162161,0.0906145633920997,0.3445563453599891,0.3766051344012904,0.0530211998812718,0.4772459061033683,-1.1802658521608609,-1.1893777083990056,0.0,1.1541036897912458,0.0,0.0,False,0.0,0.0
2001,1,Awaran,Awaran,0,0.0,-1.0311916256130602,0.0828709091405805,-0.6456666408196524,0.0288275594668108,-0.3052553484162161,0.6735929726078808,0.0391729152669073,-1.4893873885772764,-1.365221876509485,-1.7606266546690317,0.0,0.6768354757459227,0.0,0.0,False,-0.0,-0.0
2001,2,Awaran,Awaran,1,0.0,-0.9928576882777912,0.0411059344193171,-0.1262956549067051,-0.0138482846143645,-0.6456666408196524,1.3494299968512344,0.0019098586381455,0.5546199967068415,-1.503938894770953,-1.3725914754651678,0.0,1.710916606177456,0.0,0.0,False,-0.0,-0.0
2001,3,Awaran,Awaran,1,0.2258064516129032,-0.9899801654953824,-0.0512166412803197,0.6822995319234267,-0.0372630566287617,-0.1262956549067051,0.6325956351298927,-0.0395791019495514,0.4928006128295756,-0.3248442395484738,-1.0628992670277508,-0.0,1.3927377968139074,-0.0,-0.0,False,0.0,0.0
2001,4,Awaran,Awaran,1,0.3225806451612903,-1.0172208116583554,-0.0841889897444754,1.2268113876526168,-0.0414889605876969,0.6822995319234267,0.0356844862767922,-0.095341955555133,0.2121355305395722,0.4727786154549681,-0.1642873240340996,-0.0,1.4722824991547945,-0.0,-0.0,False,0.0,0.0
2001,5,Awaran,Awaran,0,0.3225806451612903,-1.045256073823916,-0.2160783836010983,1.827954647949572,-0.0557628536055816,1.2268113876526168,-0.2959247476732028,-0.2213268030050433,-0.1775138476726716,0.8080114095868492,0.7864185455059095,-0.0,1.6313719038365688,-0.0,-0.0,False,0.0,0.0
2001,6,Awaran,Awaran,0,0.3225806451612903,-1.074846320445709,-0.2688341411437469,1.3608768307379615,-0.1259848474499103,1.827954647949572,0.06897559259136,-0.3030933648996566,0.053211694345824,0.9698479308918956,0.973638865842217,-0.0,1.233648392132133,-0.0,-0.0,False,-0.0,-0.0
2001,7,Awaran,Awaran,0,0.3225806451612903,-1.117035293050752,-0.249050732065254,0.2494162495731657,-0.0817665618946133,1.3608768307379615,0.3170295879925148,-0.2886569294859036,0.8378270550192055,0.8658101671957943,1.2563643727663878,-0.0,0.0404778570188253,-0.0,-0.0,False,-0.0,-0.0
2001,8,Awaran,Awaran,0,0.3225806451612903,-1.1638028714808817,-0.205087600779713,0.7293274926242684,0.014436435413753,0.2494162495731657,0.599479937023223,-0.2304411684667365,1.2907049947963378,0.8195711611086385,0.9554243330233791,0.0,1.233648392132133,0.0,0.0,False,0.0,0.0
2001,9,Awaran,Awaran,0,0.2903225806451613,-1.1204104982997058,-0.1039723988229684,1.1947076469161997,0.058215761019167,0.7293274926242684,0.3643402980962789,-0.1414151565098977,-0.5691734442012524,0.7155333974125375,0.3529649946071541,0.0,1.3927377968139074,0.0,0.0,False,-0.0,-0.0
2001,10,Awaran,Awaran,0,0.2903225806451613,-1.0541444057813305,-0.0358295453303794,1.0120545062966686,0.0890260119568388,1.1947076469161997,-0.0429289539369554,-0.0619005987289239,-2.929961115179276,0.3225018456717108,-0.5455920275934721,0.0,-0.1186115476629489,0.0,0.0,False,-0.0,-0.0
2001,11,Awaran,Awaran,0,0.0,-1.047116007199986,0.0982580050905209,0.5547286598824371,0.0795145577809738,1.0120545062966686,-0.7038729724041074,0.0363479951931556,-1.5619187427696692,-0.3248442395484738,-1.116925265623076,0.0,0.2791119640414869,0.0,0.0,False,-0.0,-0.0
2001,12,Awaran,Awaran,0,0.0,-1.042735235620385,0.129032196990399,-0.2408321141268529,0.0982485939220794,0.5547286598824371,0.2774081671470791,0.0965289521903342,0.1607778787579618,-0.8565928095507683,-0.5546228712012758,-0.0,1.233648392132133,-0.0,-0.0,False,0.0,0.0
